thank_you_for	4.405798627866442	67/10799	88/70033	0.0062	0.0013
and	3.170492584906958	340/10799	1393/70033	0.0315	0.0199
!	3.1087333136226443	85/10799	214/70033	0.0079	0.0031
for	2.3556212823106484	135/10799	504/70033	0.0125	0.0072
love	1.8212572261220203	36/10799	100/70033	0.0033	0.0014
all	1.7259735516307806	60/10799	211/70033	0.0056	0.003
,	1.311485566260705	405/10799	2218/70033	0.0375	0.0317
to	1.0604004104119962	238/10799	1288/70033	0.022	0.0184
make	0.9674738767234385	22/10799	81/70033	0.002	0.0012
really	0.9537115620613376	30/10799	121/70033	0.0028	0.0017
this	0.8698984790591823	55/10799	260/70033	0.0051	0.0037
so	0.8128423308541799	54/10799	260/70033	0.005	0.0037
it	0.7094119949827824	109/10799	590/70033	0.0101	0.0084
we're	0.689029795197751	18/10799	75/70033	0.0017	0.0011
be	0.6843744408196755	22/10799	96/70033	0.002	0.0014
you	0.6634161330954754	410/10799	2444/70033	0.038	0.0349
time	0.6050292365966631	17/10799	74/70033	0.0016	0.0011
here	0.5653031166111956	22/10799	103/70033	0.002	0.0015
i	0.3962640623219272	134/10799	794/70033	0.0124	0.0113
out	0.3862418720606991	16/10799	80/70033	0.0015	0.0011
some	0.37140008376664013	19/10799	98/70033	0.0018	0.0014
.	0.3620552149727265	709/10799	4445/70033	0.0657	0.0635
do	0.3612929471967744	31/10799	169/70033	0.0029	0.0024
now	0.3418469908064489	14/10799	71/70033	0.0013	0.001
know	0.15875081762131943	20/10799	118/70033	0.0019	0.0017
people	0.14827488392688945	16/10799	94/70033	0.0015	0.0013
i'm	0.12947932989788027	31/10799	189/70033	0.0029	0.0027
i_love	0.1226632299933703	13/10799	77/70033	0.0012	0.0011
have	0.08035961566302852	71/10799	449/70033	0.0066	0.0064
up	0.06556055312685002	15/10799	93/70033	0.0014	0.0013
i_think	0.03677369305707647	25/10799	159/70033	0.0023	0.0023
on	0.025528023691589574	54/10799	347/70033	0.005	0.005
we	0.020010452727817686	46/10799	296/70033	0.0043	0.0042
our	0.009377825688420365	75/10799	485/70033	0.0069	0.0069
also	-0.01731995703460159	18/10799	118/70033	0.0017	0.0017
)	-0.03846877480882274	17/10799	113/70033	0.0016	0.0016
my	-0.05586557873493612	153/10799	1004/70033	0.0142	0.0143
/	-0.06863934157305944	12/10799	82/70033	0.0011	0.0012
them	-0.10233242659855568	16/10799	111/70033	0.0015	0.0016
that's	-0.11248878726329356	11/10799	78/70033	0.001	0.0011
with	-0.1229626007643256	67/10799	452/70033	0.0062	0.0065
,_but	-0.13448599631978456	41/10799	281/70033	0.0038	0.004
take	-0.142433728533317	10/10799	73/70033	0.0009	0.001
being	-0.22117962807811153	14/10799	106/70033	0.0013	0.0015
are	-0.2233263583620668	33/10799	237/70033	0.0031	0.0034
would	-0.23712905870601808	11/10799	86/70033	0.001	0.0012
(	-0.24821148206859678	14/10799	108/70033	0.0013	0.0015
say	-0.25946776817124845	18/10799	137/70033	0.0017	0.002
will	-0.2606487952284257	15/10799	116/70033	0.0014	0.0017
more	-0.273530665676444	15/10799	117/70033	0.0014	0.0017
think	-0.3010238739527986	14/10799	112/70033	0.0013	0.0016
how	-0.30569916317634227	19/10799	148/70033	0.0018	0.0021
only	-0.3145415725385321	10/10799	84/70033	0.0009	0.0012
in	-0.32982738452535837	95/10799	673/70033	0.0088	0.0096
-	-0.3437611279433284	10/10799	86/70033	0.0009	0.0012
from	-0.3508770627039765	19/10799	152/70033	0.0018	0.0022
you_can	-0.35616590665396214	13/10799	109/70033	0.0012	0.0016
if	-0.3708904078174237	20/10799	161/70033	0.0019	0.0023
way	-0.37241580912986283	10/10799	88/70033	0.0009	0.0013
then	-0.41439302305187387	10/10799	91/70033	0.0009	0.0013
an	-0.4311822048087722	18/10799	152/70033	0.0017	0.0022
as	-0.4454209127941761	45/10799	347/70033	0.0042	0.005
no	-0.479165751315773	9/10799	88/70033	0.0008	0.0013
said	-0.479165751315773	9/10799	88/70033	0.0008	0.0013
but	-0.4800505265333155	50/10799	387/70033	0.0046	0.0055
you_are	-0.489004486336802	22/10799	187/70033	0.002	0.0027
like	-0.5349068490784782	31/10799	258/70033	0.0029	0.0037
that	-0.5615228123114882	138/10799	1013/70033	0.0128	0.0145
at	-0.5848820785734969	12/10799	120/70033	0.0011	0.0017
has	-0.5964347873522823	6/10799	72/70033	0.0006	0.001
get	-0.6093790944309859	18/10799	169/70033	0.0017	0.0024
if_you	-0.6305629488953622	24/10799	217/70033	0.0022	0.0031
different	-0.6311100722294196	7/10799	83/70033	0.0006	0.0012
*	-0.6313567815587442	11/10799	116/70033	0.001	0.0017
about	-0.6520590532997449	25/10799	227/70033	0.0023	0.0032
one	-0.6574166959367401	7/10799	85/70033	0.0006	0.0012
your	-0.6679861650579756	151/10799	1127/70033	0.014	0.0161
what	-0.7106135194590719	32/10799	287/70033	0.003	0.0041
me	-0.8520451550691648	30/10799	290/70033	0.0028	0.0041
or	-0.8531964761075249	20/10799	211/70033	0.0019	0.003
of	-0.8591962489331622	77/10799	643/70033	0.0071	0.0092
you're	-0.8625564342013589	26/10799	260/70033	0.0024	0.0037
was	-0.8630765468385547	8/10799	111/70033	0.0007	0.0016
don't	-0.8632998977053689	7/10799	102/70033	0.0006	0.0015
see	-0.8654606125780964	6/10799	93/70033	0.0006	0.0013
by	-0.8745532822265634	7/10799	103/70033	0.0006	0.0015
the	-0.9369475372758076	189/10799	1460/70033	0.0175	0.0208
it's	-0.9512321304834525	18/10799	206/70033	0.0017	0.0029
respect	-0.9533673868531318	3/10799	71/70033	0.0003	0.001
'	-0.9877859251197364	9/10799	132/70033	0.0008	0.0019
because	-0.9943533992728314	14/10799	177/70033	0.0013	0.0025
than	-0.9963177258372735	4/10799	85/70033	0.0004	0.0012
other	-1.0006758972495753	3/10799	75/70033	0.0003	0.0011
a	-1.0130911919912524	119/10799	980/70033	0.011	0.014
just	-1.0524217437279817	27/10799	293/70033	0.0025	0.0042
when	-1.1073607978915403	11/10799	163/70033	0.001	0.0023
not	-1.2285447540761592	23/10799	284/70033	0.0021	0.0041
?	-1.597711861346599	2/10799	127/70033	0.0002	0.0018
is	-1.8291773773520454	74/10799	820/70033	0.0069	0.0117
